,Region,dVCR,VCR,dUCR,UCR,loc,meanVIT,VUH,meet,meanVUH
0,6795038,903104.0,0.000269286304196,1914,0.186005830904,"(40.079245283018864, 116.58640093786636)",1.46275348235,1914,0.356754130224,0.186005830904
1,8180783,828104.0,0.000516209211912,1844,0.321185617104,"(39.904492362982928, 116.42051582649474)",2.8040298024,1844,0.718075801749,0.365208940719
2,9077097,1292086.0,0.000901481631969,1674,0.417103984451,"(39.895507637017069, 116.31324736225089)",4.89681567865,1674,1.32351797862,0.527891156463
3,6795037,628157.0,0.0010887846192,1509,0.479689018465,"(40.078796046720576, 116.58640093786636)",5.91423874312,1509,1.55092322643,0.674538386783
4,8249328,411983.0,0.0012116291415,1328,0.534402332362,"(39.892362982929022, 116.41230949589684)",6.58152575316,1328,1.78833819242,0.803595724004
5,7754664,495767.0,0.00135945626127,1371,0.576967930029,"(39.907637017070975, 116.47151230949591)",7.38451733074,1371,2.05986394558,0.936831875607
6,9067300,655906.0,0.00155503340702,1547,0.613605442177,"(39.895058400718774, 116.31441969519344)",8.44688532556,1547,2.31175898931,1.08717201166
7,7891864,377597.0,0.0016676247593,1265,0.643148688047,"(39.932794249775384, 116.45509964830012)",9.05847748623,1265,2.51700680272,1.2101068999
8,8621568,356879.0,0.00177403844693,1141,0.669290573372,"(39.888769092542674, 116.36776084407973)",9.63651279559,1141,2.70223517979,1.32099125364
9,8180784,571463.0,0.0019444364955,1480,0.692031098154,"(39.904941599281223, 116.42051582649474)",10.5621088435,1480,2.95685131195,1.4648202138
10,9062405,480707.0,0.00208777304526,1349,0.712244897959,"(39.896406109613658, 116.31500586166472)",11.3407078069,1349,3.19825072886,1.59591836735
11,6795035,605200.0,0.00226823074592,1363,0.72944606414,"(40.077897574123988, 116.58640093786636)",12.3209475219,1363,3.43275024295,1.72837706511
12,8802907,412802.0,0.0023913194765,1162,0.745578231293,"(39.939532794249772, 116.34607268464245)",12.9895610625,1162,3.65335276968,1.84130223518
13,8185723,315583.0,0.00248541957985,1215,0.759183673469,"(39.92336028751123, 116.41992966002346)",13.5007094266,1215,3.85655976676,1.95937803693
14,8180782,700599.0,0.00269432322266,1728,0.771137026239,"(39.904043126684634, 116.42051582649474)",14.6354664723,1728,4.22196307094,2.12730806608
15,8078004,386001.0,0.00280942046806,1298,0.78231292517,"(39.939982030548066, 116.43282532239157)",15.2606705539,1298,4.43819241983,2.25344995141
16,8528505,332153.0,0.00290846139114,1196,0.792808551992,"(39.888319856244387, 116.37889800703401)",15.7986572724,1196,4.65655976676,2.36967930029
17,7989586,1609159.0,0.00338827820069,656,0.802623906706,"(39.82587601078167, 116.44337631887457)",18.4050048591,656,5.19387755102,2.43343051506
18,9072199,466792.0,0.00352746559495,1288,0.81195335277,"(39.895507637017069, 116.31383352872216)",19.1610657596,1288,5.44839650146,2.55860058309
19,6829325,520148.0,0.00368256260765,1283,0.820602526725,"(40.079694519317158, 116.58229777256741)",20.0035471331,1283,5.70106899903,2.68328474247
20,8621591,339429.0,0.00378377307837,1082,0.828571428571,"(39.89910152740341, 116.36776084407973)",20.5533187561,1082,5.88775510204,2.78843537415
21,7891773,322961.0,0.00388007314357,1072,0.835762876579,"(39.891913746630728, 116.45509964830012)",21.0764172336,1072,6.04995140914,2.89261418853
22,9150595,454876.0,0.0040157074414,932,0.841788143829,"(39.90808625336927, 116.30445486518171)",21.8131778426,932,6.31263362488,2.98318756074
23,9096866,231885.0,0.00408485059064,808,0.84732750243,"(39.975022461814916, 116.31090269636577)",22.1887609329,808,6.44402332362,3.06171039845
