,Region,dVCR,VCR,dUCR,UCR,loc,meanVIT,VUH,meet,meanVUH
0,6795038,903104.0,0.000269286304196,1914,0.186005830904,"(40.079245283018864, 116.58640093786636)",1.46275348235,1914,0.356754130224,0.186005830904
1,8180783,828104.0,0.000516209211912,1844,0.321185617104,"(39.904492362982928, 116.42051582649474)",2.8040298024,1844,0.718075801749,0.365208940719
2,9077097,1292086.0,0.000901481631969,1674,0.417103984451,"(39.895507637017069, 116.31324736225089)",4.89681567865,1674,1.32351797862,0.527891156463
3,8180782,700599.0,0.00111038527478,1728,0.473372206025,"(39.904043126684634, 116.42051582649474)",6.03157272433,1728,1.6889212828,0.695821185617
4,6795037,628157.0,0.00129768826201,1509,0.526627793975,"(40.078796046720576, 116.58640093786636)",7.04899578879,1509,1.91632653061,0.842468415938
5,9067300,655906.0,0.00149326540777,1547,0.566861030126,"(39.895058400718774, 116.31441969519344)",8.11136378361,1547,2.16822157434,0.992808551992
6,7754664,495767.0,0.00164109252754,1371,0.607580174927,"(39.907637017070975, 116.47151230949591)",8.91435536119,1371,2.4397473275,1.1260447036
7,8249328,411983.0,0.00176393704983,1328,0.64139941691,"(39.892362982929022, 116.41230949589684)",9.58164237123,1328,2.67716229349,1.25510204082
8,9062405,480707.0,0.00190727359959,1349,0.666472303207,"(39.896406109613658, 116.31500586166472)",10.3602413346,1349,2.9185617104,1.38620019436
9,7891864,377597.0,0.00201986495186,1265,0.690864917396,"(39.932794249775384, 116.45509964830012)",10.9718334953,1265,3.12380952381,1.5091350826
10,6795035,605200.0,0.00220032265252,1363,0.709912536443,"(40.077897574123988, 116.58640093786636)",11.9520732102,1363,3.3583090379,1.64159378037
11,8180784,571463.0,0.00237072070109,1480,0.726239067055,"(39.904941599281223, 116.42051582649474)",12.8776692582,1480,3.61292517007,1.78542274052
12,8538301,367649.0,0.00248034577246,1245,0.743148688047,"(39.888319856244387, 116.37772567409145)",13.473148688,1245,3.82089407191,1.90641399417
13,8802907,412802.0,0.00260343450304,1162,0.758309037901,"(39.939532794249772, 116.34607268464245)",14.1417622287,1162,4.04149659864,2.01933916424
14,8078004,386001.0,0.00271853174844,1298,0.769873663751,"(39.939982030548066, 116.43282532239157)",14.7669663103,1298,4.25772594752,2.14548104956
15,8621568,356879.0,0.00282494543607,1141,0.781632653061,"(39.888769092542674, 116.36776084407973)",15.3450016197,1141,4.44295432459,2.2563654033
16,6829325,520148.0,0.00298004244877,1283,0.792128279883,"(40.079694519317158, 116.58229777256741)",16.1874829932,1283,4.69562682216,2.38104956268
17,8254244,370546.0,0.0030905313436,1255,0.800583090379,"(39.900449236298293, 116.41172332942556)",16.7876546809,1255,4.91788143829,2.50301263362
18,9072199,466792.0,0.00322971873786,1288,0.808551992225,"(39.895507637017069, 116.31383352872216)",17.5437155815,1288,5.17240038873,2.62818270165
19,7754662,413443.0,0.00335299860094,1302,0.815451895044,"(39.906738544474393, 116.47151230949591)",18.2133673469,1302,5.41263362488,2.7547133139
20,8175883,1866816.0,0.00390964321911,1196,0.822448979592,"(39.90359389038634, 116.421101992966)",21.2370408163,1196,6.32526724976,2.87094266278
21,8778399,358961.0,0.00401667771463,1175,0.82915451895,"(39.931446540880501, 116.34900351699883)",21.8184483317,1175,6.52526724976,2.98513119534
22,8528505,332153.0,0.00411571863771,1196,0.835665694849,"(39.888319856244387, 116.37889800703401)",22.3564350502,1196,6.7436345967,3.10136054422
23,8641292,364893.0,0.0042245219288,1121,0.840816326531,"(39.948068283917337, 116.36541617819461)",22.9474505993,1121,6.91982507289,3.21030126336
